src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.239663
192.168.1.64,20.207.73.85,58119,443,TCP,423,1750247707.239757
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.244677
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.245677
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.245916
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.250417
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.250847
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.254034
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.254034
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.254108
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.269936
192.168.1.64,20.207.73.85,58119,443,TCP,1221,1750247707.270025
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.278712
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.278774
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.306487
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.308481
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.308481
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.308858
20.207.73.85,192.168.1.64,443,58119,TCP,1277,1750247707.406362
192.168.1.64,20.207.73.85,58119,443,TCP,89,1750247707.407293
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.411764
192.168.1.64,20.207.73.85,58119,443,TCP,2827,1750247707.411867
20.207.73.85,192.168.1.64,443,58119,TCP,1210,1750247707.448488
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.448554
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.453141
192.168.1.64,20.207.73.85,58119,443,TCP,3527,1750247707.453228
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.456357
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.456357
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.456357
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.456357
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.499435
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.499745
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.499745
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.499777
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.499811
20.207.73.85,192.168.1.64,443,58119,TCP,1209,1750247707.501962
20.207.73.85,192.168.1.64,443,58119,TCP,1386,1750247707.504804
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.504904
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.505764
192.168.1.64,20.207.73.85,58119,443,TCP,2026,1750247707.505825
20.207.73.85,192.168.1.64,443,58119,TCP,1208,1750247707.535377
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.539432
192.168.1.64,20.207.73.85,58119,443,TCP,3819,1750247707.53956
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.552943
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.559911
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.559911
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.559911
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.567774
192.168.1.64,20.207.73.85,58119,443,TCP,1641,1750247707.567852
20.207.73.85,192.168.1.64,443,58119,TCP,1211,1750247707.571154
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.571263
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.579507
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.593758
192.168.1.64,20.207.73.85,58119,443,TCP,1251,1750247707.593832
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.603478
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.603478
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.604406
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.604406
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.604432
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.633942
20.207.73.85,192.168.1.64,443,58119,TCP,58,1750247707.635934
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.635934
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.682838
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.741096
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.741226
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.745321
192.168.1.64,20.207.73.85,58119,443,TCP,972,1750247707.745423
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,60,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809765
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.809868
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.809958
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.81002
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.81006
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.81006
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.81006
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.81006
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.810083
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.827568
192.168.1.64,20.207.73.85,58119,443,TCP,1979,1750247707.827654
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848481
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.848627
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.848761
20.207.73.85,192.168.1.64,443,58119,TCP,174,1750247707.848761
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.848847
192.168.1.64,20.207.73.85,58119,443,TCP,127,1750247707.855496
192.168.1.64,20.207.73.85,58119,443,TCP,9932,1750247707.855581
20.207.73.85,192.168.1.64,443,58119,TCP,1441,1750247707.85574
20.207.73.85,192.168.1.64,443,58119,TCP,60,1750247707.870606
20.207.73.85,192.168.1.64,443,58119,TCP,70,1750247707.870606
20.207.73.85,192.168.1.64,443,58119,TCP,60,1750247707.870606
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.870606
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.870671
20.207.73.85,192.168.1.64,443,58119,TCP,1210,1750247707.882637
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.882743
20.207.73.85,192.168.1.64,443,58119,TCP,1332,1750247707.886909
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.886968
20.207.73.85,192.168.1.64,443,58119,TCP,60,1750247707.89219
20.207.73.85,192.168.1.64,443,58119,TCP,60,1750247707.893338
20.207.73.85,192.168.1.64,443,58119,TCP,60,1750247707.893394
20.207.73.85,192.168.1.64,443,58119,TCP,106,1750247707.893394
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247707.922783
20.207.73.85,192.168.1.64,443,58119,TCP,933,1750247707.922783
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247707.922984
20.207.73.85,192.168.1.64,443,58119,TCP,1210,1750247708.053715
192.168.1.65,224.0.0.251,5353,5353,UDP,257,1750247708.084832
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247708.099198
20.207.73.85,192.168.1.64,443,58119,TCP,1332,1750247708.118638
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247708.165096
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.476092
20.207.73.85,192.168.1.64,443,58119,TCP,295,1750247708.476092
192.168.1.64,20.207.73.85,58119,443,TCP,54,1750247708.476183
20.207.73.85,192.168.1.64,443,58096,TCP,97,1750247708.640189
20.207.73.85,192.168.1.64,443,58096,TCP,82,1750247708.640189
20.207.73.85,192.168.1.64,443,58096,TCP,58,1750247708.640189
192.168.1.64,20.207.73.85,58096,443,TCP,54,1750247708.640302
192.168.1.64,20.207.73.85,58096,443,TCP,54,1750247708.640595
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.657102
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.657102
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.657102
20.207.73.85,192.168.1.64,443,58119,TCP,1494,1750247708.657102
52.168.117.170,192.168.1.64,443,58233,TCP,519,1750248510.445428
192.168.1.64,52.168.117.170,58233,443,TCP,54,1750248510.445492
192.168.1.64,52.168.117.170,58233,443,TCP,78,1750248510.445975
192.168.1.64,52.168.117.170,58233,443,TCP,54,1750248510.446066
192.168.1.9,224.0.0.251,5353,5353,UDP,235,1750248510.501215
52.168.117.170,192.168.1.64,443,58233,TCP,54,1750248510.670123
52.168.117.170,192.168.1.64,443,58233,TCP,54,1750248510.670627
192.168.1.64,52.168.117.170,58232,443,TCP,171,1750248511.200951
192.168.1.64,52.168.117.170,58232,443,TCP,2510,1750248511.2011
52.168.117.170,192.168.1.64,443,58232,TCP,54,1750248511.427253
52.168.117.170,192.168.1.64,443,58232,TCP,153,1750248511.427253
192.168.1.64,52.168.117.170,58232,443,TCP,89,1750248511.428965
52.168.117.170,192.168.1.64,443,58232,TCP,54,1750248511.705104
192.168.1.26,224.0.0.251,5353,5353,UDP,191,1750248512.548154
192.168.1.26,224.0.0.251,5353,5353,UDP,191,1750248512.753497
192.168.1.26,224.0.0.251,5353,5353,UDP,191,1750248513.059975
192.168.1.26,224.0.0.251,5353,5353,UDP,504,1750248513.266618
192.168.1.9,224.0.0.251,5353,5353,UDP,100,1750248513.367465
192.168.1.9,224.0.0.251,5353,5353,UDP,235,1750248514.288887
192.168.1.9,224.0.0.251,5353,5353,UDP,100,1750248517.258806
192.168.1.9,224.0.0.251,5353,5353,UDP,235,1750248518.282862
192.168.1.9,224.0.0.251,5353,5353,UDP,100,1750248521.149481
192.168.1.64,52.168.117.170,58232,443,TCP,172,1750248521.370401
192.168.1.64,52.168.117.170,58232,443,TCP,2707,1750248521.370487
52.168.117.170,192.168.1.64,443,58232,TCP,54,1750248521.596431
52.168.117.170,192.168.1.64,443,58232,TCP,153,1750248521.60377
192.168.1.64,52.168.117.170,58232,443,TCP,89,1750248521.604671
52.168.117.170,192.168.1.64,443,58232,TCP,54,1750248521.877409
192.168.1.9,224.0.0.251,5353,5353,UDP,235,1750248522.175218
20.189.173.11,192.168.1.25,443,53193,TCP,157,1750847247.200116
20.189.173.11,192.168.1.25,443,53193,TCP,60,1750847247.201863
20.189.173.11,192.168.1.25,443,53193,TCP,60,1750847247.201863
20.189.173.11,192.168.1.25,443,53193,TCP,520,1750847247.201863
192.168.1.25,20.189.173.11,53193,443,TCP,54,1750847247.202006
192.168.1.25,20.189.173.11,53193,443,TCP,78,1750847247.202909
192.168.1.25,20.189.173.11,53193,443,TCP,54,1750847247.203111
192.168.1.19,192.168.1.25,55988,161,UDP,120,1750847247.240209
20.189.173.11,192.168.1.25,443,53193,TCP,54,1750847247.470821
192.168.1.25,192.168.1.1,53094,53,TCP,55,1750847247.667675
192.168.1.25,192.168.1.1,53095,53,TCP,55,1750847247.667675
192.168.1.1,192.168.1.25,53,53095,TCP,66,1750847247.67369
192.168.1.1,192.168.1.25,53,53094,TCP,66,1750847247.67369
192.168.1.25,140.82.112.21,53194,443,TCP,66,1750847247.721649
140.82.112.21,192.168.1.25,443,53194,TCP,66,1750847248.048247
192.168.1.25,140.82.112.21,53194,443,TCP,54,1750847248.048395
192.168.1.25,140.82.112.21,53194,443,TCP,571,1750847248.048948
140.82.112.21,192.168.1.25,443,53194,TCP,1490,1750847248.375053
140.82.112.21,192.168.1.25,443,53194,TCP,1490,1750847248.375053
140.82.112.21,192.168.1.25,443,53194,TCP,1278,1750847248.375053
192.168.1.25,140.82.112.21,53194,443,TCP,54,1750847248.375227
140.82.112.21,192.168.1.25,443,53194,TCP,1490,1750847248.377623
140.82.112.21,192.168.1.25,443,53194,TCP,209,1750847248.377623
192.168.1.25,140.82.112.21,53194,443,TCP,54,1750847248.377741
192.168.1.25,140.82.112.21,53194,443,TCP,118,1750847248.379462
192.168.1.25,140.82.112.21,53194,443,TCP,1490,1750847248.379612
192.168.1.25,140.82.112.21,53194,443,TCP,1490,1750847248.379612
192.168.1.25,140.82.112.21,53194,443,TCP,1490,1750847248.379612
192.168.1.25,140.82.112.21,53194,443,TCP,1490,1750847248.379612
192.168.1.25,140.82.112.21,53194,443,TCP,1490,1750847248.379612
192.168.1.25,140.82.112.21,53194,443,TCP,1490,1750847248.379612
192.168.1.25,140.82.112.21,53194,443,TCP,1490,1750847248.379612
192.168.1.25,140.82.112.21,53194,443,TCP,450,1750847248.379612
192.168.1.25,192.168.1.1,53108,53,TCP,55,1750847248.399073
192.168.1.25,192.168.1.1,53107,53,TCP,55,1750847248.399073
192.168.1.25,192.168.1.1,53106,53,TCP,55,1750847248.399073
192.168.1.1,192.168.1.25,53,53108,TCP,66,1750847248.403233
192.168.1.1,192.168.1.25,53,53106,TCP,66,1750847248.403233
192.168.1.1,192.168.1.25,53,53107,TCP,66,1750847248.403233
140.82.112.21,192.168.1.25,443,53194,TCP,133,1750847248.700902
140.82.112.21,192.168.1.25,443,53194,TCP,133,1750847248.700902
192.168.1.25,140.82.112.21,53194,443,TCP,54,1750847248.701027
140.82.112.21,192.168.1.25,443,53194,TCP,60,1750847248.707713
140.82.112.21,192.168.1.25,443,53194,TCP,60,1750847248.707713
140.82.112.21,192.168.1.25,443,53194,TCP,60,1750847248.707713
140.82.112.21,192.168.1.25,443,53194,TCP,144,1750847248.71167
192.168.1.25,140.82.112.21,53194,443,TCP,85,1750847248.712215
140.82.112.21,192.168.1.25,443,53194,TCP,518,1750847249.036109
192.168.1.25,140.82.112.21,53194,443,TCP,54,1750847249.076145
